"p","prefL","es"
"http://purl.bdrc.io/resource/P6453","pa tshab lo tsA ba tshul khrims rgyal mtshan/","2063"
"http://purl.bdrc.io/resource/P3458","'gos lo tsA ba khug pa lhas brtsas/","1223"
"http://purl.bdrc.io/resource/P3939","dpyal lo tsA ba chos kyi bzang po/","921"
"http://purl.bdrc.io/resource/P8LS3511","sgo chen sprul sku sku phreng 05 gsang sngags bstan 'dzin/","822"
"http://purl.bdrc.io/resource/P3890","shel dkar lo tsA ba chos kyi shes rab/","798"
"http://purl.bdrc.io/resource/P3709","zangs dkar lo tsA ba 'phags pa shes rab/","740"
"http://purl.bdrc.io/resource/P5947","ngor mkhan chen 37 mi 'gyur rgyal mtshan/","652"
"http://purl.bdrc.io/resource/P657","rdo rje brag rig 'dzin 02 pad+ma 'phrin las/","571"
"http://purl.bdrc.io/resource/P4104","rgya lo tsA ba brtson 'grus seng+ge","569"
"http://purl.bdrc.io/resource/P3814","mar pa do ba chos kyi dbang phyug","561"
"http://purl.bdrc.io/resource/P2147","thar pa lo tsA ba nyi ma rgyal mtshan/","517"
"http://purl.bdrc.io/resource/P2554","lo tsA ba 'bro seng dkar shAkya 'od/","507"
"http://purl.bdrc.io/resource/P1242","rma lo tsA ba dge ba'i blo gros/","496"
"http://purl.bdrc.io/resource/P4CZ10557","rma lo tsA ba rma ban chos 'bar/","464"
"http://purl.bdrc.io/resource/P8183","cog ro klu'i rgyal mtshan/","453"
"http://purl.bdrc.io/resource/P4266","lo chung grags 'byor shes rab/","415"
"http://purl.bdrc.io/resource/P31","gung thang blo gros rgya mtsho/","400"
"http://purl.bdrc.io/resource/P7911","mkhan po tshul khrims blo gros/","398"
"http://purl.bdrc.io/resource/P1052","shong lo tsA ba blo gros brtan pa/","392"
"http://purl.bdrc.io/resource/P5651","pa tshab lo tsA ba nyi ma grags pa/","382"
"http://purl.bdrc.io/resource/P8182","ska ba dpal brtsegs/","371"
"http://purl.bdrc.io/resource/P671","chos rje gling pa/","368"
"http://purl.bdrc.io/resource/P8129","gyi jo zla ba'i 'od zer/","363"
"http://purl.bdrc.io/resource/P208","khrims khang lo tsA ba bsod nams rgya mtsho/","354"
"http://purl.bdrc.io/resource/P5897","zhang lo tsA ba grub pa dpal/","354"
"http://purl.bdrc.io/resource/P6002","a 'dzom 'brug pa 'gro 'dul dpa' bo rdo rje/","348"
"http://purl.bdrc.io/resource/P8260","ban de dpal dbyangs/","330"
"http://purl.bdrc.io/resource/P3146","rwa chos rab/","321"
"http://purl.bdrc.io/resource/P2637","lo tsA ba grags pa rgyal mtshan/","317"
"http://purl.bdrc.io/resource/P1457","dpal khang lo tsA ba ngag dbang chos kyi rgya mtsho/","279"
"http://purl.bdrc.io/resource/P1060","mchims nam mkha' grags/","264"
"http://purl.bdrc.io/resource/P2984","pra ti dge bshes rin chen don grub/","260"
"http://purl.bdrc.io/resource/P262","rgyal dbang chos rje blo bzang 'phrin las rnam rgyal/","259"
"http://purl.bdrc.io/resource/P4277","lo tsA ba rab zhi bshes gnyen/","258"
"http://purl.bdrc.io/resource/P5785","kun dga' dbang phyug","258"
"http://purl.bdrc.io/resource/P2614","gnyan lo tsA ba dar ma grags/","257"
"http://purl.bdrc.io/resource/P8092","blo bzang sbyin pa/","253"
"http://purl.bdrc.io/resource/P8142","lha rin po che/","250"
"http://purl.bdrc.io/resource/P8203","glan dar ma blo gros/","247"
"http://purl.bdrc.io/resource/P4153","lha ye shes rgyal mtshan/","246"
"http://purl.bdrc.io/resource/P1560","kre bo lo tsA ba shes rab dpal ba/","240"
"http://purl.bdrc.io/resource/P249","kirti 08 blo bzang 'phrin las bstan pa rgya mtsho/","238"
"http://purl.bdrc.io/resource/P8216","lo tsA ba shAkya blo gros/","235"
"http://purl.bdrc.io/resource/P1TLMTGA000479","'jam mgon a mes zhabs ngag dbang kun dga' bsod nams/","234"
"http://purl.bdrc.io/resource/P39","mkhas grub khyung po rnal 'byor/","233"
"http://purl.bdrc.io/resource/P8148","lo tsA ba chings yon tan 'bar/","229"
"http://purl.bdrc.io/resource/P9569","slob dpon theg mchog","222"
"http://purl.bdrc.io/resource/P4418","lo tsA ba tshul khrims gzhon nu/","219"
"http://purl.bdrc.io/resource/P4105","lo tsA ba shes rab run chen/","216"
"http://purl.bdrc.io/resource/P796","ngor mkhan chen 25 sangs rgyas phun tshogs/","212"
"http://purl.bdrc.io/resource/P1219","skyo ston smon lam tshul khrims/","210"
"http://purl.bdrc.io/resource/P4409","ye shes rgya mtsho/","209"
"http://purl.bdrc.io/resource/P5957","lam rim pa ngag dbang phun tshogs/","207"
"http://purl.bdrc.io/resource/P4CZ16819","slob dpon shAkya 'od/","206"
"http://purl.bdrc.io/resource/P7746","gter chen chos rgyal gling pa/","203"
"http://purl.bdrc.io/resource/P6744","mkhan chen pad+ma badz+ra/","202"
"http://purl.bdrc.io/resource/P6265","dge rgan chen mo thub bstan phun tshogs/","199"
"http://purl.bdrc.io/resource/P1500","mtsho sna ba shes rab bzang po/","191"
"http://purl.bdrc.io/resource/P6438","gcod pa don grub/","184"
"http://purl.bdrc.io/resource/P4180","lo tsA ba bsod nams rgyal mtshan/","182"
"http://purl.bdrc.io/resource/P251","gser tog blo bzang tshul khrims rgya mtsho/","180"
"http://purl.bdrc.io/resource/P1089","'jam dbyangs mkhyen brtse'i dbang phyug bstan pa'i rgyal mtshan/","179"
"http://purl.bdrc.io/resource/P4402","zha ma lo tsA ba ston pa seng+ge rgyal po/","178"
"http://purl.bdrc.io/resource/P7843","'dzam thang mkhan po tshogs gnyis rgya mtsho/","177"
"http://purl.bdrc.io/resource/P00EGS1017029","smin gling mkhan chen tshe dbang rig 'dzin/","176"
"http://purl.bdrc.io/resource/P7604","lo tsA ba glan dar ma tshul khrims/","171"
"http://purl.bdrc.io/resource/P5617","dka' chen blo bzang bzod pa/","169"
"http://purl.bdrc.io/resource/P1314","kaHdam pa bde gshegs/","167"
"http://purl.bdrc.io/resource/P1846","dwags po sgom chen ngag dbang grags pa/","167"
"http://purl.bdrc.io/resource/P809","ngor pa dpon slob ngag dbang legs grub/","164"
"http://purl.bdrc.io/resource/P1KG6324","mkhan po phrin las rdo rje/","162"
"http://purl.bdrc.io/resource/P4243","shAkya brtson 'grus/","162"
"http://purl.bdrc.io/resource/P1440","karma lo tsA ba rin chen bkra shis/","160"
"http://purl.bdrc.io/resource/P559","si tu 09 pad+ma nyin byed dbang po/","160"
"http://purl.bdrc.io/resource/P8064","shar yul phun tshogs tshe ring /","158"
"http://purl.bdrc.io/resource/P1591","'dul 'dzin grags pa rgyal mtshan/","157"
"http://purl.bdrc.io/resource/P3163","paN chen bde legs nyi ma/","156"
"http://purl.bdrc.io/resource/P5360","cha ris skal bzang thogs med/","156"
"http://purl.bdrc.io/resource/P221","rdzong dkar 'jigs med dam chos rgya mtsho/","153"
"http://purl.bdrc.io/resource/P8179","bla ban chos kyi brtson 'grus/","152"
"http://purl.bdrc.io/resource/P1KG4252","dngos grub dpal/","150"
"http://purl.bdrc.io/resource/P4779","khro ru mkhan po tshe rnam/","150"
"http://purl.bdrc.io/resource/P6475","khyung phrug blo bzang dar rgyas/","150"
"http://purl.bdrc.io/resource/P741","a 'dzom rgyal sras 'gyur med rdo rje/","150"
"http://purl.bdrc.io/resource/P7466","gu ru rgyal mtshan/","150"
"http://purl.bdrc.io/resource/P4CZ10506","ra se dkon mchog rgya mtsho/","146"
"http://purl.bdrc.io/resource/P4987","gtsang stod dar ma mgon po/","145"
"http://purl.bdrc.io/resource/P6599","pad+ma ba dz+ra 03 pad+ma skal bzang /","145"
"http://purl.bdrc.io/resource/P6961","dge mang mkhan chen yon tan rgya mtsho/","145"
"http://purl.bdrc.io/resource/P6177","ldong yon tan rgya mtsho/","144"
"http://purl.bdrc.io/resource/P1038","skyed tshal mkhan po 'jam dbyangs kun dga' chos bzang /","142"
"http://purl.bdrc.io/resource/P3088","mal lo tsA ba blo gros grags pa/","142"
"http://purl.bdrc.io/resource/P196","a mdo zhwa dmar 04 dge 'dun bstan 'dzin rgya mtsho/","139"
"http://purl.bdrc.io/resource/P4892","lce sgom shes rab rdo rje/","139"
"http://purl.bdrc.io/resource/P489","paN chen 'bum phrag gsum pa byams pa chos grags/","136"
"http://purl.bdrc.io/resource/P1361","si tu dbon karma nges legs bstan 'dzin/","135"
"http://purl.bdrc.io/resource/P1582","shes rab brtsegs pa/","133"
"http://purl.bdrc.io/resource/P5820","rngog mdo sde/","133"
"http://purl.bdrc.io/resource/P1670","'a zha blo gros rgyal mtshan/","132"
"http://purl.bdrc.io/resource/P2947","'dar pa lo tsA ba ngag dbang phun tshogs lhun grub/","132"
"http://purl.bdrc.io/resource/P6590","mgo log rnam rgyal/","132"
"http://purl.bdrc.io/resource/P7661","'od dpag rdo rje/","132"
"http://purl.bdrc.io/resource/P8028","'jam dpal bde ba'i nyi ma/","132"
"http://purl.bdrc.io/resource/P4CZ15173","chos 'khor lo tsA ba 'jam dpal ye shes/","131"
"http://purl.bdrc.io/resource/P507","shan+ti pa blo gros rgyal mtshan/","131"
"http://purl.bdrc.io/resource/P460","sa skya khri chen 23 kun dga' rin chen/","130"
"http://purl.bdrc.io/resource/P815","rje btsun karma phrin las pa/","130"
"http://purl.bdrc.io/resource/P2460","smyung gnas bla ma bsod nams bzang po/","128"
"http://purl.bdrc.io/resource/P8156","khe'u gang 'khor lo grags/","127"
"http://purl.bdrc.io/resource/P297","rgyal mkhan po grags pa rgyal mtshan/","122"
"http://purl.bdrc.io/resource/P7277","bsam grub/","122"
"http://purl.bdrc.io/resource/P10078","kun dga' dpal ldan rgya mtsho/","121"
"http://purl.bdrc.io/resource/P4CZ10524","zhu chen gyi lo tsA ba ting 'dzin bzang po/","121"
"http://purl.bdrc.io/resource/P2CZ9123","bu mi pham rgya mtsho/","120"
"http://purl.bdrc.io/resource/P6439","chab 'gag rta mgrin/","120"
"http://purl.bdrc.io/resource/P812","sga ston ngag dbang legs pa/","120"
"http://purl.bdrc.io/resource/P2388","lo chen byang chub rtse mo/","118"
"http://purl.bdrc.io/resource/P7517","mkhan chen bstan pa rab rgyas/","117"
"http://purl.bdrc.io/resource/P993","byams gling paN chen bsod nams rnam rgyal/","117"
"http://purl.bdrc.io/resource/P2168","lo tsA ba bkra shis rgyal mtshan/","116"
"http://purl.bdrc.io/resource/P4417","lo tsA ba gzhon nu 'od/","116"
"http://purl.bdrc.io/resource/P8696","mi nyag rtsa ra mkhan chen thub bstan chos kyi grags pa/","116"
