 "bdr" , "w" , "bc" , "trl" ,
 "http://purl.bdrc.io/resource/P4797" , "http://www.sudoc.fr/079849555/id" , "Mongol zohiolčdyn Tôvdôôr bičsèn bùtèèl  2 dèvtèr, D. Ravžaa  : Sudalgaand zoriulav  / Č. Altangèrèl [orčuulagč]  ; redaktor C. Damdinsùrèn  ; BNMAU-yn Šinžlėh Uhaany Akademi / Ulaanbaatar : Šinžlèh Uhaany Akademijn hèvlèl , 1967-1968" , "Altangèrèl, Č." ,
 "http://purl.bdrc.io/resource/P7342" , "http://www.sudoc.fr/106793802/id" , "Le Rêve dans le pavillon rouge  / Traduit du chinois par Franz Kuhn  ; Version française établie par Armel Guerne / Paris : G. Le Prat , (D.L" , "Kuhn, Franz (1884-1961)" ,
 "http://purl.bdrc.io/resource/P736" , "http://www.sudoc.fr/102407665/id" , "Wisdom Nectar  : Dudjom Rinpoche's Heart Advice  / His Holiness Dudjom Jigdral Yeshé Dorjé  ; translated by Ron Garry / Ithaca, N.Y. : Snow Lion Publications , cop. 2005" , "Garry, Ron (1955-....)" ,
 "http://purl.bdrc.io/resource/P7342" , "http://www.sudoc.fr/155773593/id" , "Le rêve dans le pavillon rouge  / Cao Xueqin & Gao E  ; illustrations de Sun Wen  ; traduction et adaptation, Wu Hongmiao & Laurent Ballouhey / Paris : Bibliothèque de l'image , DL 2009" , "Ballouhey, Laurent" ,
 "http://purl.bdrc.io/resource/P7342" , "http://www.sudoc.fr/155773593/id" , "Le rêve dans le pavillon rouge  / Cao Xueqin & Gao E  ; illustrations de Sun Wen  ; traduction et adaptation, Wu Hongmiao & Laurent Ballouhey / Paris : Bibliothèque de l'image , DL 2009" , "Wu, Hong miao (19..-....)" ,
 "http://purl.bdrc.io/resource/P736" , "http://www.sudoc.fr/096689102/id" , "The Nyingma school of Tibetan Buddhism  : its fundamentals and history  / Dudjom Rinpoche, Jikdrel Yeshe Dorje  ; translated and edited by Gyurme Dorje and Matthew Kapstein/ [2e édition] / Boston, Mass. : Wisdom Publications , 2002" , "Gyurme Dorje (1950-2020)" ,
 "http://purl.bdrc.io/resource/P736" , "http://www.sudoc.fr/096689102/id" , "The Nyingma school of Tibetan Buddhism  : its fundamentals and history  / Dudjom Rinpoche, Jikdrel Yeshe Dorje  ; translated and edited by Gyurme Dorje and Matthew Kapstein/ [2e édition] / Boston, Mass. : Wisdom Publications , 2002" , "Kapstein, Matthew Tom" ,
 "http://purl.bdrc.io/resource/P64" , "http://www.sudoc.fr/177154403/id" , "Great treatise on the stages of mantra (sngags rim chen mo)  : (critical elucidation of the key instructions in all the secret stages of the path of the victorious universal lord, Great Vajradhara)  : chapters XI-XII, the creation stage  / by Tsong Khapa Losang Drakpa / New York : The American Institute of Buddhist Studies Columbia University Center for Buddhist Studies , cop. 2013" , "Yarnall, Thomas F. (1960-....)" ,
 "http://purl.bdrc.io/resource/P7342" , "http://www.sudoc.fr/024072613/id" , "Le rêve dans le Pavillon rouge  [1], Hong-leou mong  / Ts'ao Siue-Kin  ; traduit du chinois par Franz Kuhn  ; version française établie par Armel Guerne / Paris : Guy Le Prat, Editeur , DL 1957" , "Kuhn, Franz (1884-1961)" ,
 "http://purl.bdrc.io/resource/P2943" , "http://www.sudoc.fr/020215029/id" , "The creative vision  : the symbolic recreation of the world according to the Tibetan Buddhist tradition of Tantric visualization otherwise known as the developing phase  / [translated by] Herbert Guenther / Novato, CA : Lotsawa , c1987" , "Guenther, Herbert V. (1917-2006)" ,
 "http://purl.bdrc.io/resource/P1KG23542" , "http://www.sudoc.fr/001627503/id" , "Bardo thodol  : le livre des morts tibétain ou les expériences d'après la mort dans le plan du Bardo  / suivant la version anglaise du lama Kazi Dawa Samdup  / Carl-Gustav Jung  ; éd. par le Dr W. Y. Evans-Wentz,...  ; trad. française de Marguerite La Fuente... / Paris : Librairie d'Amérique et d'Orient , 1987" , "La Fuente, Marguerite" ,
 "http://purl.bdrc.io/resource/P6962" , "http://www.sudoc.fr/054333539/id" , "Comprendre la vacuité  : deux commentaires du chapitre IX de La marche vers l'éveil de Shântideva  / Khentchen Kunzang Palden, Minyak Kunzang Seunam  ; trad. du tibétain par le comité de traduction Padmakara / Peyzac-le-Moustier : Ed. Padmakara , 1993" , "Association Padmakara (Peyzac-le-Moustier, Dordogne)" ,
 "http://purl.bdrc.io/resource/P6384" , "http://www.sudoc.fr/08397881X/id" , "La relaxation tibétaine  : massages et postures Kum Nye  / Tarthang Tulku  ; trad. de l'anglais par Jean Brunet / Paris : le Courrier du livre , 2004" , "Brunet, Jean (1942-.... ; traducteur)" ,
 "http://purl.bdrc.io/resource/P442" , "http://www.sudoc.fr/107931672/id" , "Oeuvres complètes  / Milarépa  / par Marie-José Lamothe  ; traduit du tibétain et présentation par Marie-José Lamothe / Paris : le Grand livre du mois , impr. 2006" , "Lamothe, Marie-José (1945-1998)" ,
 "http://purl.bdrc.io/resource/P6717" , "http://www.sudoc.fr/089833325/id" , "Le Tibet  / auteurs, Ngapo Ngawang Jigmei ... [et al.]  ; [traduction française, Martine Millon] / Paris : Éditions du Fanal , c1981" , "Millon, Martine" ,
 "http://purl.bdrc.io/resource/P663" , "http://www.sudoc.fr/074444778/id" , "Sky dancer  : the secret life and songs of the Lady Yeshe Tsogyel  / [translated by] Keith Dowman  ; illustrated by Eva van Dam / Ithaca, N.Y. : Snow Lion Publications , cop. 1996" , "Dowman, Keith" ,
 "http://purl.bdrc.io/resource/P7342" , "http://www.sudoc.fr/018724094/id" , "A dream of red mansions  / Tsao Hsueh-chin and Kao Ngo  ; [translated by Yang Hsien-yi and Gladys Yang  ; illustrated by Tai Tun-pang]/ 1st ed. / Peking : Foreign Languages Press , 1978-1980" , "Yang, Xianyi (1915-2009)" ,
 "http://purl.bdrc.io/resource/P7342" , "http://www.sudoc.fr/018724094/id" , "A dream of red mansions  / Tsao Hsueh-chin and Kao Ngo  ; [translated by Yang Hsien-yi and Gladys Yang  ; illustrated by Tai Tun-pang]/ 1st ed. / Peking : Foreign Languages Press , 1978-1980" , "Yang, Gladys (1919-1999)" ,
 "http://purl.bdrc.io/resource/P64" , "http://www.sudoc.fr/082560846/id" , "The speech of gold  : reason and enlightenment in the Tibetan Buddhism  / translated with an introduction by Robert A. F. Thurman/ 1ère éd. indienne / Delhi : Motilal Banarsidass , 1989" , "Thurman, Robert A. F. (1941-....)" ,
 "http://purl.bdrc.io/resource/P7342" , "http://www.sudoc.fr/016490657/id" , "The story of the stone  : a Chinese novel in five volumes  / translated by David Hawkes / Harmondsworth : Penguin , 1973-1986" , "Hawkes, David (1923-....)" ,
